code,title,credits
ENGL 3376,BUSINESS AND PROFESSIONAL WRITING,3
ARCH 5361,ARCHITECTURE AND ENVIRONMENT,3
CSE 5369,SPECIAL TOPICS IN INTELLIGENT SYSTEMS,3
ECON 3305,LAWS AND ECONOMICS,3
MUSI 5322,PRIVATE LESSONS IN ORGAN,3
MUSI 3367,PRIVATE LESSONS IN ORGAN,3
MUSI 2248,PRIVATE LESSONS IN BRASS,2
NURS-MX 3337,INDEPENDENT STUDY,3
NURS 3447,SPECIALIZED TOPICS IN NURSING,4
ENGL 6362,CHICANA LITERATURE AND PRAXIS,3
COMM 4360,EMERGING MEDIA STRATEGY,3
AAST 4326,DIVERSITY IN ORGANIZATIONS,3
SCIE 5371,CELL AND MOLECULAR BIOLOGY,3
BIOL 4327,BEHAVIORAL GENETICS,3
MUSI 5242,PRIVATE LESSONS IN IMPROVISATION,2
ART 5659,RESEARCH IN PHOTOGRAPHY DIGITAL IMAGING,6
CRCJ 4390,INTERNSHIP IN CRIMINAL JUSTICE,3
BCOM 5375,ADVANCED BUSINESS COMMUNICATION THEORY & PRACTICE,3
SOCW 4451,SOCIAL WORK FIELD SEMINAR I,4
AREN 3218,ARCHITECTURAL ENGINEERING GEOMETRIC DESIGN TOOLS,2
EE 5316,CMOS MIXED SIGNAL IC DESIGN,3
AE 6304,ADVANCED MECHANICS OF MATERIALS,3
ARCH 5365,CATALYTIC MAPPING,3
PORT 3310,PORTUGUESE LOCALIZATION AND TRANSLATION,3
BIOL 5303,MICROBIOMES: HEALTH AND THE ENVIRONMENT,3
CM 5388,PIPELINE CONSTRUCTION AND TRENCHLESS TECHNOLOGY,3
ENGL 5191,INDEPENDENT STUDY,1
RUSS 4365,RUSSIAN FOREIGN POLICY,3
EE 5398,THESIS,3
EE 5698,THESIS,6
ACCT 3303,INTRODUCTION TO ACCOUNTING INFORMATION SYSTEMS,3
CE 4369,LOADS ON STRUCTURES,3
NURS 5324,PSYCHIATRIC MENTAL CLINICAL PRACTICE I,3
PHYS 5317,STATISTICAL MECHANICS II,3
UNIV-HN 1131,STUDENT SUCCESS,1
MAE 1140,PROBLEMS IN MECHANICAL AND AEROSPACE ENGINEERING,1
NURS 3437,INDEPENDENT STUDY,4
EDAD 5353,HIGHER EDUCATION FINANCE,3
MAE 4315,INTRODUCTION TO COMPOSITES,3
MUSI 4303,ADVANCED STRING CLASS,3
GEOL 4458,MACHINE LEARNING FOR EARTH AND ENVIRONMENTAL SCIENTISTS,4
NURS 5370,INDEPENDENT STUDY IN NURSING,3
ACCT 5398,THESIS,3
SPED 5311,CLASSROOM ASSESSMENT OF STUDENTS WITH DISABILITIES,3
KINE 3330,PATHOLOGY AND PHARMACOLOGY,3
MUSI 5004,UNIVERSITY SINGERS,0
EE 5357,STATISTICAL PATTERN RECOGNITION,3
SOCW 5311,ADVANCED MICRO PRACTICE,3
CHEM 5328,ANALYTICAL SPECTROSCOPY,3
PAPP 5304,URBAN POLITICS,3
MODL 2314,TOPICS IN MODERN LANGUAGE LEVEL IV,3
SPED 4304,ASSISTIVE TECHNOLOGY,3
SOCW 5357,GROUP DYNAMICS AND SOCIAL WORK PRACTICE,3
CE 6197,RESEARCH IN CIVIL ENGINEERING,1
ART 5394,INDEPENDENT STUDY IN GLASS,3
EDUC 5315,CLINICAL TEACHING,3
CSE 3314,PROFESSIONAL PRACTICES,3
PAPP 5314,HEALTH POLICY,3
HONR 1304,HONORS INDEPENDENT STUDY,3
COMM 4330,POLITICAL COMMUNICATION,3
AREN 2252,INTRODUCTION TO CONSTRUCTION DRAFTING,2
MAE 1107,INTRODUCTION TO MECHANICAL ENGINEERING,1
EDUC 5395,DESIGNING CLASSROOM RESEARCH,3
IE 5311,DECISION ANALYSIS,3
SPAN 3315,SPANISH COMPOSITION,3
MUSI 2181,FUNCTIONAL PIANO IV,1
MATH 1301,CONTEMPORARY MATHEMATICS,3
KINE 6389,RESEARCH MANUSCRIPT SUBMISSION,3
PLAN 6327,GREEN CITIES AND TRANSPORTATION,3
ENVR 4456,ENVIRONMENTAL RISK ASSESSMENT,4
ECON 5282,INDEPENDENT STUDIES IN ECONOMICS,2
NURSG 5319,ADVANCED PHARMACOLOGY FOR NURSE EDUCATORS,3
COMS 0185,FORENSICS,1
SOCI 3338,CONTEMPORARY BLACK EXPERIENCE,3
MAE 4320,HYDRAULIC AND PNEUMATIC SYSTEMS,3
NURS-EL 3300,COOPERATIVE NURSING WORK EXPERIENCE,3
PSYC 3304,ANALYSIS & MANAGEMENT OF BEHAVIOR,3
IE 5335,COGNITIVE SYSTEMS ENGINEERING,3
KINE 5398,THESIS,3
KINE 6330,ENVIRONMENTAL PHYSIOLOGY OF EXERCISE,3
BSAD 6999,DISSERTATION,9
SUT 3350,SPECIAL ISSUES IN SUT,3
ANTH 4191,CONFERENCE COURSE,1
SOCW 5312,COMMUNITY AND ADMINISTRATIVE PRACTICE,3
BLAW 3310,LEGAL AND ETHICAL ENVIRONMENT OF BUSINESS,3
NURS 5342,MANAGEMENT OF NURSING OPERATIONS,3
CE 6397,RESEARCH IN CIVIL ENGINEERING,3
MUSI 4205,ADVANCED FUNCTIONAL PIANO,2
PHYS 4171,ADVANCED OPTICS LABORATORY,1
OPMA 4191,STUDIES IN OPERATIONS MANAGEMENT,1
PSYC 6399,DISSERTATION,3
CE 4313,TRAFFIC ENGINEERING,3
HIST 3314,CIVIL WAR AND RECONSTRUCTION,3
MATH 3307,ELEMENTARY NUMBER THEORY,3
ASDS 6303,DATA MINING WITH INFORMATION VISUALIZATION,3
FREN 3391,CONFERENCE COURSE,3
NURS 3547,SPECIALIZED TOPICS IN NURSING,5
COMM 5698,THESIS,6
PHYS 4117,INDIVIDUAL LEARNING BY SEMINAR,1
ARCH 4360,POLITICS AND PRACTICE OF PRESERVATION,3
PAPP 6315,PUBLIC ADMINISTRATION THEORY,3
PLAN 6311,SPATIAL THEORY AND POLICY: URBAN FORM AND STRUCTURE,3
BIOL 5314,BIOMETRY,3
BE 4324,BIOMEDICAL OPTICS LABORATORY,3
PSYC 5341,DECISION MAKING,3
AAST 4378,WEST AFRICA AND THE ATLANTIC DIASPORA,3
SOCW 5371,INEQUITIES AND INCARCERATION,3
BE 5698,THESIS,6
EE 4310,MICROPROCESSOR SYSTEMS,3
GEOL 4190,GEOSCIENCE INTERNSHIP,1
MUSI 5343,PRIVATE LESSONS IN GUITAR,3
BE 6695,INTERNSHIP IN BIOENGINEERING,6
REAE 5314,SEMINAR IN REAL ESTATE DEVELOPMENT,3
KINE 4989,FITNESS MANAGEMENT INTERNSHIP,9
MUSI 3301,MUSIC HISTORY II,3
NURS 6324,CLINICAL INFORMATION SYSTEMS,3
