code,title,credits
MSE 4333,INTRODUCTION TO MAGNETIC MATERIALS,3
CE 5305,FIBER REINFORCED COMPOSITE DESIGN,3
MATH 5350,APPLIED MATHEMATICS I,3
SOCW 4552,SOCIAL WORK FIELD INSTRUCTION II,5
POLS 4392,SPECIAL TOPICS IN POLITICAL SCIENCE,3
CHEM 5392,RESEARCH IN CHEMISTRY,3
EE 5338,COMPUTATIONAL METHODS IN ELECTRICAL ENGINEERING,3
ME 5337,INTRODUCTION TO ROBOTICS,3
BIOL 4311,HISTOLOGY,3
MATH 5312,MATHEMATICAL STATISTICS I,3
PHYS 5314,ADVANCED OPTICS,3
IE 5362,LOGISTICS & PRODUCTION PLANNING,3
NURSG 5366,PRINCIPLES OF RESEARCH IN NURSING,3
SOCW 4191,CONFERENCE COURSE,1
CSE 5364,ROBOTICS,3
MATH 5330,ALGEBRAIC GEOMETRY,3
SOCI 4309,WRITING FOR THE SOCIAL SCIENCES,3
AE 5315,FUNDAMENTALS OF COMPOSITES,3
NURS 5450,NEONATAL NP CLINICAL PRACTICE,4
MAS 4391,CONFERENCE COURSE,3
CE 1353,INTRODUCTION TO COMPUTER AIDED DESIGN TOOLS IN CIVIL ENGINEERING,3
MATH 5359,SURVIVAL ANALYSIS,3
MODL 2313,TOPICS IN MODERN LANGUAGE LEVEL III,3
CSE 5366,DIGITAL SIGNAL PROCESSING,3
LING 3340,SYNTAX I,3
MUSI 5359,ADVANCED DICTION FOR SINGERS,3
LARC 4391,CONFERENCE COURSE IN LANDSCAPE ARCHITECTURE,3
POLS 5342,INTERNATIONAL ORGANIZATIONS,3
MUSI 3257,PRIVATE LESSONS IN ORGAN,2
EMBA 5304,MAKING STRATEGIC DECISIONS WITH FINANCIAL DATA,3
ENGL 5350,HISTORY OF RHETORIC I: CLASSICAL RHETORIC,3
CE 5324,INFRASTRUCTURE DURABILITY & MONITORING,3
CRCJ 5382,COMPREHENSIVE ISSUES IN CRIME AND JUSTICE,3
FS-HIST 1300,FIRST YEAR SEMINAR IN HISTORY,3
ENVR 4312,ENVIRONMENTAL RISK BASED ACTION,3
AE 5342,GAS DYNAMICS,3
GEOL 4302,GEODYNAMICS,3
COMM 2195,COMMUNICATION CAREER PRACTICUM,1
GERM 3313,TOPICS IN GERMAN CULTURE & CONVERSATION,3
MUSI 2258,PRIVATE LESSONS IN ORGAN,2
PAPP 5306,THE URBAN ECONOMY,3
REAE 4391,STUDIES IN REAL ESTATE,3
BE 4330,MEDICAL IMAGE PROCESSING,3
REE 4305,ENERGY GOVERNANCE,3
PLAN 5297,PROFESSIONAL REPORT,2
IE 6310,INDUSTRIAL APPLICATIONS,3
OPMA 4307,QUALITY PLANNING AND ANALYSIS,3
CE 5362,RIGID PAVEMENTS,3
IE 6305,ENGINEERING MANAGEMENT I,3
HONR 2104,HONORS INDEPENDENT STUDY,1
GEOL 5332,STABLE ISOTOPE GEOCHEMISTRY,3
POLS 5335,LATIN AMERICAN POLITICS,3
CHEM 4381,HONORS RESEARCH,3
CSE 6997,RESEARCH IN COMPUTER SCIENCE,9
KINE 5292,SPECIAL TOPICS IN KINESIOLOGY,2
MATH 5322,COMPLEX VARIABLES I,3
ENGL 4366,YOUNG ADULT LITERATURE,3
GEOL 5405,METEOROLOGY AND CLIMATOLOGY,4
ART 5330,CRITICAL PERSPECTIVE IN THE VISUAL ARTS & VISUAL COMMUNICATION,3
SPAN 4339,THE ACQUISITION OF SPANISH,3
PSYC 4420,EXPERIMENTAL ANALYSIS OF BEHAVIOR,4
CE 4327,SITE REMEDIATION ENGINEERING,3
NURS 6490,TOPICS IN NURSING,4
ESST 4300,INTERNSHIP IN ENVIRONMENTAL AND SUSTAINABILITY STUDIES,3
CRCJ 4332,COMMUNITY CORRECTIONS,3
AAST 4391,CONFERENCE COURSE,3
PAPP 5390,TOPICS IN URBAN THEORY,3
PCOM 4393,SPECIAL TOPICS,3
SOCI 5392,CONFERENCE COURSE IN SOCIOLOGY,3
ENGL 5351,HISTORY OF RHETORIC II: MEDIEVAL AND RENAISSANCE RHETORIC,3
BE 1105,MEDICAL APPLICATIONS OF ENGINEERING,1
EDAD 2330,THEORIES IN LEADERSHIP,3
RUSS 3305,TOPICS IN RUSSIAN POETRY,3
HEED 2317,BASIC CONCEPTS IN HUMAN SEXUALITY,3
MATH 6390,BAYESIAN DATA ANALYSIS,3
ENGL 4390,INTERNSHIP IN ENGLISH,3
MAE 1351,INTRODUCTION TO ENGINEERING DESIGN,3
ASA 4491,AFFILIATED STUDIES ABROAD,4
EE 3140,JUNIOR PROJECT LABORATORY,1
ENGL 6191,INDEPENDENT STUDY,1
MARK 5326,INTEGRATED MARKETING COMMUNICATION,3
ARCH 5671,INTEGRATIVE DESIGN STUDIO I,6
DNCE 3309,DANCE IN WORLD CULTURES,3
DNCE 4391,CONFERENCE COURSE,3
CM 3315,CONSTRUCTION LAW AND ETHICS,3
LSHP 1101,INTRODUCTION TO LEADERSHIP,1
SPAN 3317,MEXICAN CULTURE AND CIVILIZATION,3
THEA 3355,UNIVERSAL DESIGN & ACCESSIBILITY IN THE PERFORMING ARTS,3
NURS 6270,INDEPENDENT STUDY IN NURSING,2
PHYS 4327,INTRODUCTION TO QUANTUM MECHANICS II,3
ARCH 3551,BASIC DESIGN FOR ENGINEERS,5
MARK 6392,INDEPENDENT STUDY IN MARKETING,3
EE 5309,TOPICS IN ELECTRICAL ENGINEERING,3
MUSI 5291,CONFERENCE COURSE IN MUSIC,2
ANTH 3301,ARCHAEOLOGICAL METHOD AND THEORY,3
HONR-SC 2407,HONORS SPECIAL TOPICS WITH LAB,4
CE 4328,WATER SYSTEM DESIGN,3
MUSI 3378,PRIVATE LESSONS IN HARPSICHORD,3
AREN 4341,SUSTAINABLE BUILDING ENERGY MODELING,3
MAE 3183,MEASUREMENTS LABORATORY II,1
CM 5343,BUILDING INFORMATION MODELING,3
SOCW 6347,INTERMEDIATE STATISTICS,3
ME 5328,METAL ADDITIVE MANUFACTURING,3
BIOL 1345,BIOLOGY I FOR NURSING STUDENTS,3
SOCI 5389,TEACHING SOCIOLOGY,3
KINE 5290,SPECIAL TOPICS IN KINESIOLOGY,2
GWSS 3361,WOMEN IN THEATRE,3
CSE 6344,ADVANCED TOPICS IN COMMUNICATION NETWORKS,3
OPMA 4391,STUDIES IN OPERATIONS MANAGEMENT,3
HCAD 5299,GRADUATE HEALTH CARE ADMINISTRATION INTERNSHIP,2
ACCT 5343,TAX PROBLEMS OF TRANSACTIONS IN REAL ESTATE,3
ENGL 5324,TOPICS IN AMERICAN LITERARY GENRES,3
IE 4349,INDUSTRIAL AUTOMATION,3
ARCH 5304,HISTORY OF ARCHITECTURE AND INTERIOR DESIGN II,3
GERM 2313,INTERMEDIATE GERMAN I,3
NURSC 5432,FAMILY I,4
HCAD 5316,HEALTH CARE FINANCE,3
ARCH 5370,ADVANCED DESIGN STUDIO,3
SUT 3322,PROFESSIONAL AND ETHICAL RESPONSIBILITY,3
BIOL 3442,HUMAN PHYSIOLOGY,4
POLS 5315,PUBLIC OPINION,3
POLS 3310,RESEARCH METHODS AND POLITICAL ANALYSIS,3
NURSC 5462,ADULT GERONTOLOGY PRIMARY CARE,4
AREN 4383,SENIOR PROJECT,3
REAE 5302,SUSTAINABLE STRATEGIES IN THE BUILT ENVIRONMENT,3
MSE 5333,MAGNETIC PROPERTIES OF MATERIALS,3
ARCH 4315,TOPICS IN THE HISTORY OF ARCHITECTURE AND DESIGN,3
INSY 3304,DATABASE MANAGEMENT SYSTEMS,3
MUSI 3394,DIGITAL MUSIC TECHNOLOGY,3
HEED 4291,CONFERENCE COURSE,2
ART 2308,DRAWING CONCEPTS,3
PLAN 5364,ECONOMIC BASE AND INDUSTRIAL DEVELOPMENT POLICY,3
ARCH 5338,CODES AND REGULATIONS,3
NURSC 5362,TEACHING PRACTICUM,3
LING 6691,RESEARCH IN LINGUISTICS,6
EDAD 6359,HIGHER EDUCATION CURRICULUM,3
GEOL 5372,STRUCTURAL GEOMETRY AND TECTONICS OF PETROLEUM FIELDS,3
RUSS 4304,BANNED AND CENSORED WORKS OF RUSSIAN LITERATURE,3
CE 2391,PROBLEMS IN CIVIL ENGINEERING,3
OPMA 5361,OPERATIONS MANAGEMENT,3
MUSI 5109,VOCAL JAZZ,1
EXSA 0189,INTERCOLLEGIATE ATHLETICS,1
NURSG 5343,NURSING LEADERSHIP AND COMPLEX HEALTH CARE SYSTEMS,3
MANA 4326,DIVERSITY IN ORGANIZATIONS,3
PSYC 3310,DEVELOPMENTAL PSYCHOLOGY,3
COMS 3310,GROUP COMMUNICATION THEORY,3
HIST 5691,INDEPENDENT STUDY,6
PSYC 7399,DOCTORAL DEGREE COMPLETION,3
MANA 6392,RESEARCH IN ADMINISTRATION,3
EDAD 5303,TEACHER LEADERSHIP FOR SCHOOL IMPROVEMENT,3
KINE 5347,ADVANCED FUNCTIONAL ASSESSMENT AND CORRECTIVE EXERCISE,3
EDAD 6353,HIGHER EDUCATION FINANCE,3
EE 5382,OPTICAL DETECTORS AND RADIATION,3
MUSI 4213,INSTRUMENTAL MATERIALS AND TECHNIQUES II,2
LING 7399,DOCTORAL DEGREE COMPLETION,3
FINA 5698,THESIS,6
ENGL 4350,TOPICS IN FILM AND LITERATURE,3
ECON 4191,STUDIES IN ECONOMICS,1
HONR-LA 3303,INDEPENDENT STUDY,3
FS-ART 1300,FIRST YEAR SEMINAR IN ART,3
SUT 4344,HEALTH INSURANCE AND ACCESS TO CARE,3
MATH 5336,CONCEPTS AND TECHNIQUES IN NUMBER THEORY,3
NURSG 5382,NURSING AND HEALTH CARE POLICY: ISSUES AND ANALYSIS,3
EE 5350,DIGITAL SIGNAL PROCESSING,3
LARC 5368,DESIGN PRACTICUM,3
MUSI 5303,ADVANCED COUNTERPOINT,3
GERM 3316,GERMAN COMPOSITION & GRAMMAR,3
ANTH 3330,CULTURAL DIVERSITY AND IDENTITY,3
AAST 3332,COMPARATIVE KINSHIP AND FAMILY SYSTEMS,3
ARCH 5371,FUTURE CITIES,3
SCIE 5302,CAPSTONE SCIENCE SEMINAR,3
NURS 5220,ADVANCED HEALTH ASSESSMENT AND DIAGNOSTIC REASONING,2
MATH 3300,INTRODUCTION TO PROOFS,3
REAE 5324,REAL ESTATE ECONOMICS,3
CE 3143,PROPERTIES AND BEHAVIOR OF SOILS,1
IE 5398,THESIS,3
BIOL 3410,SELECTED TOPICS IN BIOLOGY,4
ASA 2391,AFFILIATED STUDIES ABROAD,3
EMBA 5309,FINANCIALMANAGEMENT FOR EXECUTIVES,3
POLS 4691,ARCHER PROGRAM INTERNSHIP,6
THEA 3317,SINGING FOR THE ACTOR I,3
HIST 5365,READING COLLOQUIUM: TOPICS,3
POLS 4322,ISSUES IN POLITICAL THEORY,3
MUSI 5121,PRIVATE LESSONS IN PIANO,1
GWSS 3331,SOCIOLOGY OF THE FAMILY,3
MUSI 3316,STRATEGIES AND ASSESSMENT IN MUSIC EDUCATION,3
EDAD 6318,ADVANCED QUALITATIVE METHODS,3
IE 5698,THESIS,6
ARCH 5592,DESIGN STUDIO II,5
MUSI 5236,PRIVATE LESSONS IN TRUMPET,2
HIST 5655,PUBLIC HISTORY INTERNSHIP,6
ARCH 4311,TOPICS IN ARCHITECTURAL THEORY,3
PSYC 5330,ADVANCE EMPLOYEE TRAINING AND DEVELOPMENT,3
MATH 5338,NUMERICAL ANALYSIS I,3
JOUR 3360,SPORTS REPORTING,3
CHIN 3311,CHINESE LOCALIZATION AND TRANSLATION II,3
IE 5334,LOGISTICS DISTRIBUTION SYSTEMS DESIGN,3
THEA 3318,DRAFTING FOR THE ARTS,3
INSY 4315,ADVANCED WEB DEVELOPMENT,3
EVSE 5303,SUSTAINABILITY ISSUES SEMINAR III,3
PSYC 5347,CYBERPSYCHOLOGY APPLICATIONS,3
MUSI 3302,FORM AND ANALYSIS,3
ANTH 3329,CONTEMPORARY AFRICAN CULTURES,3
MUSI 1142,PRIVATE LESSONS IN PIANO,1
ENGL 3361,HISTORY OF WORLD LITERATURE I,3
KORE 2314,INTERMEDIATE KOREAN II,3
CHEM 6011,TOPICS IN GRADUATE RESEARCH,0
HONR 3404,HONORS SPECIAL TOPICS,4
CE 4307,CONSTRUCTION SUSTAINABILITY,3
ARCH 4317,MODERN ARCHITECTURE II,3
OPMA 5369,SUPPLY CHAIN LOGISTICS,3
CHEM 6203,REGULATORY ASPECTS OF THE CHEMICAL INDUSTRY,2
AE 6337,ADVANCED ROBOTICS,3
LAPS 5391,INDEPENDENT STUDY,3
AAST 4325,HISTORY OF HIP HOP,3
EE 5346,MICROWAVE DEVICES,3
IE 4291,SPECIAL PROBLEMS IN INDUSTRIAL ENGINEERING,2
COMM 4340,CORPORATE COMMUNICATION,3
HCAD 5301,HEALTH CARE ADMINISTRATION I,3
NURSC 5324,PSYCHIATRIC MENTAL CLINICAL PRACTICE I,3
AE 5337,INTRODUCTION TO ROBOTICS,3
MSE 5357,SYNTHESIS AND PROPERTIES OF MODERN ENGINEERING MATERIALS,3
MUSI 4280,SPECIAL TOPICS IN MUSIC,2
ECON 5998,THESIS,9
ASA 2591,AFFILIATED STUDIES ABROAD,5
PAPP 6320,ADVANCED ORGANIZATION THEORY,3
PSYC 6300,SEMINAR IN PSYCHOLOGY,3
ENGR 1291,UNDERGRADUATE SPECIAL TOPICS IN ENGINEERING,2
IE 4391,SPECIAL PROBLEMS IN INDUSTRIAL ENGINEERING,3
EXSA 0167,SOCCER,1
MATH 5321,APPLIED PARTIAL DIFFERENTIAL EQUATIONS,3
EDTC 5191,INDEPENDENT RESEARCH,1
GEOL 4455,ENVIRONMENTAL DATA SCIENCE,4
MUSI 4248,PRIVATE LESSONS IN BRASS,2
MUSI 5010,STUDIO CLASS,0
EVSE 5454,STATISTICS FOR EARTH AND ENVIRONMENTAL SCIENTISTS,4
FS-COMM 1300,FIRST YEAR SEMINAR IN COMMUNICATION,3
PLAN 5363,LEADERSHIP AND COMMUNICATION SKILLS IN THE PLANNING PROCESS,3
LATN 1441,LATIN LEVEL I,4
ENGL 3347,TOPICS IN MULTICULTURAL AMERICAN LITERATURES,3
LING 5363,LANGUAGE ENDANGERMENT AND REVITALIZATION,3
NURS 5537,NEONATAL NURSING II,5
NURS 6306,RESEARCH DESIGN,3
MUSI 4393,CAPSTONE IN MUSIC THEORY,3
ENGL 6361,TOPICS IN GENDER AND SEXUALITY STUDIES,3
CM 4351,BUILDING INFORMATION MODELING FOR CONSTRUCTION MANAGEMENT,3
INTD 4195,SELECTED TOPICS IN INTERIOR DESIGN,1
MUSI 5126,PRIVATE LESSONS IN VIOLA,1
EXCH 3591,EXCHANGE COURSE,5
THEA 3302,FILM STUDIES,3
ECON 4323,MATHEMATICAL ECONOMICS,3
NURS 6999,DISSERTATION,9
HONR 3203,HONORS INDEPENDENT STUDY,2
MARK 4325,INTERNATIONAL MARKETING,3
MUSI 0109,KEYBOARD ENSEMBLE,1
MATH 1325,ANALYTIC GEOMETRY,3
GEOG 3315,GEOGRAPHY OF LATIN AMERICA AND THE CARIBBEAN,3
MUSI 0122,JAZZ COMBO,1
ENVR 2314,THE GLOBAL ENVIRONMENT AND HUMAN HEALTH,3
EE 4371,POWER SYSTEM PROTECTIVE RELAYING,3
NURS 3247,SPECIALIZED TOPICS IN NURSING,2
NURS 3632,CLINICAL NURSING FOUNDATIONS,6
OPMA 6382,INDEPENDENT STUDIES IN OPERATIONS MANAGEMENT,3
THEA 4341,ADVANCED SCENE STUDY,3
MSE 4312,MECHANICAL BEHAVIOR OF MATERIALS,3
CE 5312,ADVANCED CONCRETE DESIGN I,3
ENGL 4376,DESIGNING TECHNICAL DOCUMENTS,3
ARCH 5337,SOILS AND FOUNDATIONS,3
ARCH 5364,SITE DESIGN,3
HIST 4371,STALINISM: CULTURE & CIVILIZATION,3
EE 5310,DIGITAL VLSI DESIGN,3
BIOL 3316,ASTROBIOLOGY I,3
LARC 5340,PROFESSIONAL PRACTICE,3
SOCI 3360,TOPICS IN SOCIOLOGY,3
REE 3302,SUSTAINABLE ENERGY SYSTEMS,3
IE 5191,ADVANCED STUDIES IN INDUSTRIAL ENGINEERING,1
KINE 5324,ASSESSMENT AND MANAGEMENT II,3
HIST 5350,HISTORY OF CARTOGRAPHY,3
ARCH 1301,INTRODUCTION TO ARCHITECTURE AND INTERIOR DESIGN,3
NURSG 5340,MANAGEMENT SEMINAR AND PRACTICE,3
ENGL 2309,WORLD LITERATURE,3
NURS 3137,INDEPENDENT STUDY,1
CSE 6197,RESEARCH IN COMPUTER SCIENCE,1
LING 5370,HISTORY OF LINGUISTICS,3
BIOL 4309,NEUROPHARMACOLOGY,3
INTD 4557,DESIGN STUDIO: INTERIOR DESIGN V,5
MATH 3313,INTRODUCTION TO PROBABILITY,3
MARK 5327,RESEARCH FOR MARKETING DECISIONS,3
IE 4300,TOPICS IN INDUSTRIAL ENGINEERING,3
EE 6364,ADVANCED DATA NETWORKS,3
MUSI 3392,COMPOSITION I,3
ECON 5301,MATHEMATICAL ECONOMICS,3
SPEC 5306,ASSISTIVE TECHNOLOGY,3
IE 6301,ENTERPRISE ARCHITECTURES AND FRAMEWORKS,3
ART 2304,DIGITAL MEDIA,3
HUMA 4191,CONFERENCE COURSE IN MEDICAL HUMANITIES,1
ENGL 3301,TOPICS IN RUSSIAN LITERATURE IN TRANSLATION,3
ADVT 4395,PROFESSIONAL INTERNSHIP,3
MODL 1441,TOPICS IN MODERN LANGUAGE LEVEL I,4
MATH 6313,TOPICS IN PROBABILITY AND STATISTICS,3
SOCW 5344,HEALTH INSURANCE AND ACCESS TO CARE,3
HONR 4204,HONORS INDEPENDENT STUDY,2
MSCI 6699,DISSERTATION,6
MUSI 3358,PRIVATE LESSONS IN BRASS,3
ASDS 6301,ADVANCE REGRESSION ANALYSIS,3
SUT 4320,SOCIAL WORK & ADDICTIVE BEHAVIOR,3
KINE 5325,THERAPEUTIC INTERVENTIONS II,3
EDAD 6310,STATISTICAL METHODS,3
MUSI 1237,PRIVATE LESSONS IN JAZZ GUITAR,2
MARK 3370,SOCIAL MEDIA MARKETING,3
LING 5300,LINGUISTIC ANALYSIS,3
ART 3390,HISTORY OF GRAPHIC DESIGN,3
SOCI 5330,SEMINARS IN SOCIAL DIFFERENTIATION,3
ECON 3313,INDUSTRIAL ORGANIZATION AND PUBLIC POLICY,3
HCAD 5199,GRADUATE HEALTH CARE ADMINISTRATION INTERNSHIP,1
REAE 5312,INTERNATIONAL PROPERTY MARKETS,3
MANA 2302,COMMUNICATIONS IN ORGANIZATIONS,3
OPMA 4303,INTRODUCTION TO MANAGEMENT SCIENCES,3
EDUC 5359,ENVIRONMENTAL SCIENCE FOR ELEMENTARY AND SECONDARY TEACHERS,3
ARCH 4556,DESIGN STUDIO: ARCHITECTURE III,5
ENGL 0100,INTEGRATED READING AND WRITING WORKSHOP,1
NURS 5140,PSYCHIATRIC ASSESSMENT LAB FOR THE PSYCHIATRIC MENTAL HEALTH NURSE PRACTITIONER,1
SOCI 4370,SENIOR RESEARCH SEMINAR,3
ENGL 5337,SEMINAR IN TEACHING LITERATURE,3
NURSC 5680,PEDIATRIC ACUTE CARE NP ADVANCED PRACTICUM,6
LATN 4391,CONFERENCE COURSE,3
MUSI 4308,INSTRUMENTAL CONDUCTING II,3
PLAN 5357,INTERMEDIATE GEOGRAPHIC INFORMATION SYSTEMS,3
MILS 4341,ADVANCED LEADERSHIP I,3
BANA 4326,CAPSTONE IN BUSINESS ANALYTICS,3
HEED 4330,COMPREHENSIVE SEXUALITY EDUCATION,3
MAE 4312,CONTROL SYSTEMS COMPONENTS,3
NURS 5329,ROLE OF THE NURSE EDUCATOR,3
MSE 5405,PHYS THERMO MAT,4
PHYS 7399,DOCTORAL DEGREE COMPLETION,3
POLS 5303,COMPARATIVE POLITICAL SYSTEMS,3
MUSI 5336,PRIVATE LESSONS IN TRUMPET,3
ME 5359,APPLIED AUTOMOTIVE ENGINEERING,3
IE 4304,ENTERPRISE SYSTEMS,3
MATH 5357,SAMPLE SURVEYS,3
KINE 4293,SEMINAR IN ATHLETIC TRAINING,2
BE 5395,INTERNSHIP IN BIOENGINEERING,3
RUSS 1442,BEGINNING RUSSIAN II,4
IE 5323,AGENT BASED SIMULATION,3
GEOG 4330,UNDERSTANDING GEOGRAPHIC INFORMATION SYSTEMS,3
CSE 4323,QUANTITATIVE COMPUTER ARCHITECTURE,3
GEOG 2301,PHYSICAL GEOGRAPHY,3
BIOL 5293,RESEARCH,2
LAPS 5370,INTRODUCTION TO STATISTICAL ANALYSIS,3
CE 6997,RESEARCH IN CIVIL ENGINEERING,9
CRCJ 3320,CYBERCRIME,3
DATA 3311,MATHEMATICS FOR DATA SCIENCE,3
EDUC 4390,SELECTED TOPICS IN EDUCATION,3
PHYS 1301,PHYSICS FOR NON SPECIALISTS I,3
PLAN 4320,SUSTAINABLE COMMUNITIES,3
GEOG 5330,UNDERSTANDING GEOGRAPHIC INFORMATION SYSTEMS,3
LARC 5662,DESIGN STUDIO II,6
CSE 4191,INDIVIDUAL PROJECTS,1
BLAW 5332,BUSINESS LAW FOR ACCOUNTANTS,3
MUSI 4391,CONFERENCE COURSE,3
DASC 5303,DATA SCIENCE PROJECT MANAGEMENT,3
ENGL 5356,COMPOSING PROCESSES,3
ARCH 3554,DESIGN STUDIO: ARCHITECTURE II,5
CHEM 4203,COMPUTATIONAL CHEMISTRY,2
MUSI 1181,FUNCTIONAL PIANO II,1
SOCW 5335,AGING IN AMERICAN SOCIETY,3
EDUC 3301,TEACHING DIVERSE LEARNERS,3
SUT 4452,SUBSTANCE USE TREATMENT FIELD SEMINAR II,4
ANTH 3355,THE RISE OF CIVILIZATION,3
MUSI 3259,PRIVATE LESSONS IN JAZZ DRUMSET,2
NURS 5392,GENOMICS AND NANOTECHNOLOGY IN HEALTH CARE PRACTICE,3
CHEM 5391,READINGS IN CHEMISTRY,3
MAE 4348,COOLING OF ELECTRONIC PACKAGES,3
EDAD 5309,ADVANCED INSTRUCTIONAL STRATEGIES,3
INSY 5382,INDEPENDENT STUDIES IN INFORMATION SYSTEMS,3
LIST 5317,LITERACY LEADERSHIP AND COACHING: PRACTICUM III,3
EE 4370,ELECTRIC MOTOR DRIVES,3
HONR 4103,ADVANCED SPECIAL TOPICS,1
MARK 3321,PRINCIPLES OF MARKETING,3
CRCJ 5370,PRACTICUM,3
ME 5327,DESIGN FOR MANUFACTURING,3
MARK 5334,STRATEGIC INTERNET MARKETING,3
CE 5391,ADVANCED STUDIES IN CIVIL ENGINEERING,3
IE 5331,INDUSTRIAL ERGONOMICS,3
RUSS 2315,INTRODUCTION TO RUSSIAN LANGUAGE AND CULTURE,3
GEOG 4340,GEOGRAPHIES OF FILM,3
ECON 5327,MONETARY POLICY AND FINANCIAL SYSTEM ANALYSIS,3
BIOL 5420,GENETICS METHODS LAB,4
ARCH 4395,SELECTED TOPICS ARCHITECTURE,3
POLS 4372,VIOLENCE AND SCARCITY IN WORLD POLITICS,3
EE 5380,PRINCIPLES OF PHOTONICS AND OPTICAL ENGINEERING,3
PLAN 5318,TECHNIQUES OF PLANNING ANALYSIS I,3
KINE 4359,PUBLIC HEALTH CUMULATIVE EXPERIENCE,3
MSE 5330,CORROSION SCIENCE AND ENGINEERING,3
SPAN 2391,CONFERENCE COURSE,3
ART 1307,DRAWING FUNDAMENTALS,3
CE 5326,WATER AND WASTEWATER TREATMENT FACILITIES DESIGN,3
ARCH 4367,HIGH PERFORMANCE FACADE SYSTEMS,3
MODL 4310,GRAPHIC NOVELS AND THE MEDICAL WORLD,3
ACCT 5302,ACCOUNTING ANALYSIS II,3
ART 5642,RESEARCH IN GLASS,6
ART 4323,CRITICAL WRITING FOR MUSEUMS AND GALLERIES,3
ACCT 3133,PROFESSIONALISM IN ACCOUNTING,1
INTD 2552,DESIGN STUDIO: INTERIOR DESIGN I,5
PAPP 5315,URBAN EDUCATION POLICY,3
INSY 5337,DATA WAREHOUSING AND BUSINESS INTELLIGENCE,3
IE 5300,TOPICS IN INDUSTRIAL ENGINEERING,3
HUMA 3340,TOPICS IN HUMANITIES,3
ENGL 3362,HISTORY OF WORLD LITERATURE II,3
ARCH 5333,CONSTRUCTION II,3
EXSA 0145,BEGINNING FENCING,1
INSU 4329,PROPERTY AND CASUALTY RISK MANAGEMENT,3
ECON 5329,RESEARCH METHODS IN APPLIED ECONOMICS,3
LING 5398,THESIS,3
MATH 2425,CALCULUS II,4
MUSI 3241,PRIVATE LESSONS IN VOICE,2
LARC 4695,CONFERENCE COURSE IN LANDSCAPE ARCHITECTURE,6
MUSI 5239,PRIVATE LESSONS IN TUBA,2
CHEM 5262,COMPUTATIONAL CHEMISTRY,2
EE 4327,THEORY AND DESIGN OF ANTENNAS,3
PSYC 5323,GROUP PROCESSES,3
CE 3342,WATER RESOURCES ENGINEERING,3
CSE 6348,ADVANCES IN SENSOR NETWORKS,3
FREN 5102,TEACHING PRACTICUM II,1
ANTH 3313,PRIMATE EVOLUTION AND BEHAVIOR,3
ECED 4320,FOUNDATIONS OF ELEMENTARY EDUCATION,3
EDUC 4347,SECONDARY SCHOOL INTERNSHIP WITH TECHNOLOGY APPLICATIONS,3
ANTH 5320,METHODS IN BIOLOGICAL ANTHROPOLOGY,3
GEOL 3387,FIELD GEOLOGY I,3
HIST 4302,WOMEN AND WORK IN TRANSATLANTIC PERSPECTIVE,3
ANTH 3370,ARCHAEOLOGY OF THE PREHISTORIC AEGEAN,3
PAPP 5363,CIVIL RIGHTS AND URBAN MINORITIES,3
CSE 5311,DESIGN AND ANALYSIS OF ALGORITHMS,3
ENVR 4455,ENVIRONMENTAL DATA SCIENCE,4
KINE 5390,SPECIAL TOPICS IN KINESIOLOGY,3
KINE 5693,PHYSIOLOGY OF EXERCISE INTERNSHIP,6
FREN 4314,IMPROVING FRENCH GRAMMAR AND WRITING,3
BIOL 3342,DEVELOPMENTAL BIOLOGY IN HEALTH AND DISEASE,3
HIST 3354,THE RENAISSANCE,3
SOCW 3310,ENVIRONMENTAL JUSTICE & GREEN SOCIAL WORK,3
KINE 5399,MENTAL HEALTH IN PUBLIC HEALTH,3
EDAD 6391,INDEPENDENT RESEARCH,3
HIST 5998,THESIS,9
THEA 4333,MUSICAL THEATRE AUDITIONING AND SHOWCASE,3
HONR-LA 2300,SEMINAR,3
KINE 4388,EXERCISE SCIENCE INTERNSHIP,3
AREN 3341,STRUCTURAL ANALYSIS,3
PHYS 1441,GENERAL COLLEGE PHYSICS I,4
AREN 4391,PROBLEMS IN ARCHITECTURAL ENGINEERING,3
ARCH 4371,FUTURE CITIES,3
KINE 4204,ADVANCED TECHNIQUES AND TACTICS OF TRACK AND FIELD,2
CE 4000,SENIOR UNDERGRADUATE RESEARCH,0
PSYC 4430,ADVANCED TOPICS IN CLINICAL COUNSELING,4
POLS 5305,TOPICS IN POLITICAL THEORY,3
MAE 2315,FLUID DYNAMICS,3
CE 4303,CONSTRUCTION PROJECT ADMINISTRATION,3
GEOL 5367,PALEO EARTH SYSTEMS,3
LING 5309,LINGUISTICS FOR LANGUAGE PROFESSIONALS,3
PHYS 5328,SURFACE PHYSICS,3
AAST 3329,CONTEMPORARY AFRICAN CULTURES,3
KINE 5237,BEHAVIORAL AND POPULATION HEALTH,2
HIST 4303,HISTORY OF ENGINEERING,3
HIST 4325,HISTORY OF HIP HOP,3
ANTH 5373,ARCHAEOLOGY FIELD SCHOOL,3
IE 5346,TECHNOLOGY DEVELOPMENT AND DEPLOYMENT,3
EE 6344,NANOSYSTEMS AND QUANTUM ELECTRONIC DEVICES,3
NURSC 5467,PEDIATRIC COMPLEX CARE,4
BE 5291,DIRECTED RESEARCH IN BIOENGINEERING,2
