Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2023 - 2024,2024 Summer,UGRD,UGRD,John,Adams,,PSYC,2300,001,7,13,2,0,2,0,0,0,1,0,0,25
2023 - 2024,2024 Summer,UGRD,UGRD,John,Adams,,PSYC,4412,001,17,6,0,0,1,0,0,0,0,0,0,24
2023 - 2024,2024 Summer,UGRD,UGRD,Sandra,Adams,,LIST,4373,001,25,6,1,0,0,0,0,0,0,0,0,32
2023 - 2024,2024 Summer,UGRD,UGRD,Shauntel,Adams,,SOCW,4452,101,30,4,1,0,1,0,0,0,0,0,0,36
2023 - 2024,2024 Summer,UGRD,UGRD,Shauntel,Adams,,SOCW,4552,001,30,4,1,0,1,0,0,0,0,0,0,36
2023 - 2024,2024 Summer,GRAD,GRAD,Shauntel,Adams,,SOCW,5581,001,55,1,0,0,0,1,0,0,5,0,0,62
2023 - 2024,2024 Summer,GRAD,GRAD,Shicobie,Adams,,NURS,5120,437,0,0,0,0,0,0,6,0,0,0,0,6
2023 - 2024,2024 Summer,GRAD,GRAD,Oluwatosin,Adebiyi,,NURS,5324,003,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Summer,GRAD,GRAD,Oluwatosin,Adebiyi,,NURS,5350,010,12,4,0,0,0,0,0,0,0,0,0,16
2023 - 2024,2024 Summer,GRAD,GRAD,Katherine,Afshar,,NURS,5120,428,0,0,0,0,0,0,10,0,0,0,0,10
2023 - 2024,2024 Summer,GRAD,GRAD,Esteban,Aguirre,,NURS,5640,451,0,0,0,0,0,0,7,0,0,0,0,7
2023 - 2024,2024 Summer,GRAD,GRAD,Rodel,Aguirre,,NURS,5355,406,5,3,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Summer,UGRD,UGRD,LaDonna,Aiken,,BCMN,2370,001,9,0,2,0,0,0,0,0,0,0,0,11
2023 - 2024,2024 Summer,UGRD,UGRD,Tatheer,Ajani,,MATH,1421,200,5,4,8,4,0,0,0,1,0,0,0,22
2023 - 2024,2024 Summer,UGRD,UGRD,Georgios,Alexandrakis,,BE,4382,003,12,0,0,0,0,0,0,0,0,0,0,12
2023 - 2024,2024 Summer,UGRD,UGRD,Zaid,Alfayez,,CM,3337,101,28,4,0,0,0,0,0,0,1,0,0,33
2023 - 2024,2024 Summer,UGRD,UGRD,Zaid,Alfayez,,CM,4353,101,24,0,0,0,0,0,0,0,0,0,0,24
2023 - 2024,2024 Summer,UGRD,UGRD,Ahmed,Ali,,MATH,2425,300,8,9,15,10,3,0,0,0,0,0,0,45
2023 - 2024,2024 Summer,UGRD,UGRD,Ahmed,Ali,,MATH,3319,001,14,13,10,4,4,0,0,1,2,0,0,48
2023 - 2024,2024 Summer,UGRD,UGRD,Babak,Alizadeh,,CE,3342,001,5,5,4,1,1,0,0,1,0,0,0,17
2023 - 2024,2024 Summer,UGRD,UGRD,Babak,Alizadeh,,CE,3342,101,4,7,1,0,0,0,0,0,1,0,0,13
2023 - 2024,2024 Summer,UGRD,UGRD,Patricia,Allard,,NURS,3352,500,130,17,4,1,0,0,0,0,1,0,0,153
2023 - 2024,2024 Summer,UGRD,UGRD,Patricia,Allard,,NURS,3352,501,142,21,7,0,2,1,0,2,0,0,0,175
2023 - 2024,2024 Summer,UGRD,UGRD,Aida,Allen,,MATH,1308,088,6,7,15,8,16,0,0,1,4,0,0,57
2023 - 2024,2024 Summer,UGRD,UGRD,Aida,Allen,,MATH,1308,098,7,5,8,1,2,0,0,1,0,0,0,24
