Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2021 - 2022,2021 Fall,GRAD,GRAD,,,NO INSTRUCTOR ATTACHED TO SECTION NO INSTRUCTOR ATTACHED TO SECTION,EMBA,5299,001,0,0,0,0,0,0,6,0,0,0,0,6
2021 - 2022,2021 Fall,GRAD,GRAD,Aaron,Smallwood,,ECON,5337,001,13,10,16,1,0,0,0,0,2,0,0,42
2021 - 2022,2021 Fall,GRAD,GRAD,Aaron,Smallwood,,ECON,5337,002,3,1,0,1,1,0,0,0,0,0,0,6
2021 - 2022,2021 Fall,GRAD,GRAD,Abdolhossein,Haji-Sheikh,Swapnil Suryakant Salvi,ME,5316,004,7,4,0,0,0,0,0,0,0,0,0,11
2021 - 2022,2021 Fall,GRAD,GRAD,Abdul,Rasheed,Poorvi Pandey,MANA,5331,020,6,7,0,0,0,0,0,0,0,0,0,13
2021 - 2022,2021 Fall,GRAD,GRAD,Abdul,Rasheed,Poorvi Pandey,MANA,5336,001,11,5,0,0,0,0,0,0,0,0,0,16
2021 - 2022,2021 Fall,GRAD,GRAD,Abhishek,Santra,Mengxiao Wang,CSE,5330,001,23,23,1,0,0,0,0,0,0,0,0,47
2021 - 2022,2021 Fall,GRAD,GRAD,Abhishek,Santra,Sai Sreekar Uppuluri,CSE,5330,003,20,28,1,0,0,0,0,0,0,0,0,49
2021 - 2022,2021 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5333,001,15,0,0,0,0,0,0,0,0,0,0,15
2021 - 2022,2021 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5348,001,4,16,0,0,0,0,0,0,0,0,0,20
2021 - 2022,2021 Fall,GRAD,GRAD,Adam,Annaccone,Meredith Decker,KINE,5128,001,13,2,0,0,0,0,0,0,0,0,0,15
2021 - 2022,2021 Fall,GRAD,GRAD,Adam,Annaccone,Meredith Decker,KINE,5235,001,8,7,0,0,0,0,0,0,0,0,0,15
2021 - 2022,2021 Fall,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5342,001,10,0,0,0,0,0,0,0,2,0,0,12
2021 - 2022,2021 Fall,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5344,001,11,2,0,0,1,0,0,0,0,0,0,14
2021 - 2022,2021 Fall,GRAD,GRAD,Adrienne,Johnson,,SOCW,5365,031,24,1,0,0,0,0,0,0,0,0,0,25
2021 - 2022,2021 Fall,GRAD,GRAD,Aera,LeBoulluec,"Bangde Liu, Shekhar Madhav Khairnar",IE,5318,001,19,16,4,0,0,0,0,0,0,0,0,39
2021 - 2022,2021 Fall,GRAD,GRAD,Agustin,Villafana,,CE,5327,101,9,2,0,1,0,0,0,0,0,0,0,12
2021 - 2022,2021 Fall,GRAD,GRAD,Ahmad,Hamdan,Dolores Aguilar,NURS,5310,401,19,3,0,0,0,0,0,0,0,0,0,22
2021 - 2022,2021 Fall,GRAD,GRAD,Ahmad,Hamdan,Dolores Aguilar,NURS,5310,402,14,4,0,0,0,0,0,0,1,0,0,19
2021 - 2022,2021 Fall,GRAD,GRAD,Ahmad,Hamdan,Dolores Aguilar,NURSG,5310,401,5,1,0,0,0,0,0,0,1,0,0,7
2021 - 2022,2021 Fall,GRAD,GRAD,Ahmad,Hamdan,Dolores Aguilar,NURSG,5310,402,5,1,0,0,0,0,0,0,0,0,0,6
2021 - 2022,2021 Fall,GRAD,GRAD,Aimee,Dunnam,,NURS,5410,001,13,6,1,0,0,0,0,0,0,0,0,20
2021 - 2022,2021 Fall,GRAD,GRAD,Aimee,Dunnam,Brandon Respress,NURS,5325,003,5,3,0,0,0,0,0,0,0,0,0,8
2021 - 2022,2021 Fall,GRAD,GRAD,Albert,Tong,Yanni Chang,ME,5313,001,1,0,2,3,1,0,0,0,1,0,0,8
2021 - 2022,2021 Fall,GRAD,GRAD,Albert,Tong,Yanni Chang,ME,5313,002,2,2,0,0,0,0,0,0,5,0,0,9
2021 - 2022,2021 Fall,GRAD,GRAD,Albert,Tong,Yanni Chang,ME,5331,004,5,10,10,4,0,0,0,0,0,0,0,29
2021 - 2022,2021 Fall,GRAD,GRAD,Albert,Tong,Yanni Chang,ME,5331,005,4,1,3,1,1,0,0,0,0,0,0,10
2021 - 2022,2021 Fall,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5309,500,23,10,2,0,0,1,0,0,1,0,0,37
2021 - 2022,2021 Fall,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5350,101,33,0,0,0,0,0,0,0,0,0,0,33
2021 - 2022,2021 Fall,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5350,500,30,7,1,0,0,0,0,0,2,0,0,40
2021 - 2022,2021 Fall,GRAD,GRAD,Alireza,Fallahi,Srinath Thirugnanasambandamurthy,IE,5301,004,18,19,5,0,0,0,0,0,0,0,0,42
2021 - 2022,2021 Fall,GRAD,GRAD,Allison,Etchison,,SOCW,5362,017,26,0,1,0,0,0,0,0,3,0,0,30
2021 - 2022,2021 Fall,GRAD,GRAD,Allison,Tuppeny,John Gonzalez,NURS,5315,401,3,22,30,7,2,0,0,0,12,0,0,76
2021 - 2022,2021 Fall,GRAD,GRAD,Amanda,Aykanian,,SOCW,5313,003,22,9,1,0,0,0,0,0,0,0,0,32
2021 - 2022,2021 Fall,GRAD,GRAD,Amanda,Aykanian,,SOCW,5313,008,18,7,2,0,0,0,0,0,2,0,0,29
2021 - 2022,2021 Fall,GRAD,GRAD,Amanda,Mendez,Phyllis Wood,NURS,5660,470,0,0,0,0,0,0,6,0,0,0,0,6
2021 - 2022,2021 Fall,GRAD,GRAD,Amanda,Olsen,,EDUC,5394,001,5,1,0,0,0,0,0,0,0,0,0,6
2021 - 2022,2021 Fall,GRAD,GRAD,Amanda,Olsen,,EDUC,5394,105,65,7,1,0,0,0,0,0,3,0,0,76
2021 - 2022,2021 Fall,GRAD,GRAD,Amanda,Olsen,,EDUC,5397,105,93,4,0,0,0,0,0,0,0,0,0,97
2021 - 2022,2021 Fall,GRAD,GRAD,Amanda,Ryan,,SOCW,5316,018,8,8,1,0,0,0,0,0,0,0,0,17
2021 - 2022,2021 Fall,GRAD,GRAD,Amanda,Ryan,,SOCW,5316,019,1,4,1,0,0,0,0,0,0,0,0,6
2021 - 2022,2021 Fall,GRAD,GRAD,Amandeep,Dhaliwal,Adrian Abellanoza,PSYC,5405,001,14,14,0,0,0,0,0,0,0,0,0,28
2021 - 2022,2021 Fall,GRAD,GRAD,Amy,Anderson,,EDAD,5383,105,375,17,5,1,3,0,0,0,3,0,0,404
2021 - 2022,2021 Fall,GRAD,GRAD,Amy,Anderson,,EDAD,5389,005,133,1,0,0,2,0,0,0,10,0,0,146
2021 - 2022,2021 Fall,GRAD,GRAD,Amy,Blakeney,,SOCW,5313,018,16,4,2,0,0,0,0,0,1,0,0,23
2021 - 2022,2021 Fall,GRAD,GRAD,Amy,Hinz Horn,,LIST,5373,005,53,2,2,0,1,0,0,0,1,0,0,59
2021 - 2022,2021 Fall,GRAD,GRAD,Amy,Hodges,,ENGL,6389,001,9,0,1,0,0,1,0,0,0,0,0,11
2021 - 2022,2021 Fall,GRAD,GRAD,Amy,Lunsford,Mary Davis,NURS,5120,454,0,0,0,0,0,0,6,0,0,0,0,6
2021 - 2022,2021 Fall,GRAD,GRAD,Amy,Winslow,"Angela Miller, Sara Moore",NURS,5130,433,0,0,0,0,0,0,9,0,0,0,0,9
2021 - 2022,2021 Fall,GRAD,GRAD,Anam,Sahoo,Sreehas Gopinathan,INSY,5336,005,34,28,0,0,0,0,0,0,0,0,0,62
