Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2023 - 2024,2023 Fall,UGRD,UGRD,Monica,de la Fuente Iglesias,,SPAN,4344,001,6,4,0,0,0,0,0,0,0,0,0,10
2023 - 2024,2024 Spring,UGRD,UGRD,Henry,Abosi,,ARCH,4311,001,4,4,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Spring,GRAD,GRAD,Ashraf,Aboulnaga,,CSE,6331,001,7,5,0,0,0,0,0,0,0,0,0,12
2023 - 2024,2024 Spring,UGRD,UGRD,John,Adams,,PSYC,1315,002,38,18,7,0,5,6,0,0,1,0,0,75
2023 - 2024,2024 Spring,UGRD,UGRD,John,Adams,,PSYC,1315,700,39,10,3,1,1,0,0,0,2,0,0,56
2023 - 2024,2024 Spring,UGRD,UGRD,John,Adams,,PSYC,1315,701,45,16,7,0,1,0,0,0,1,0,0,70
2023 - 2024,2024 Spring,UGRD,UGRD,John,Adams,,PSYC,2300,001,81,37,23,9,6,0,0,2,2,0,0,160
2023 - 2024,2024 Spring,UGRD,UGRD,John,Adams,,PSYC,3310,003,308,28,8,4,5,0,0,1,1,0,0,355
2023 - 2024,2024 Spring,UGRD,UGRD,John,Adams,,FINA,3315,002,9,9,2,3,3,0,0,0,2,0,0,28
2023 - 2024,2024 Spring,UGRD,UGRD,John,Adams,,PSYC,4412,004,16,8,3,0,0,0,0,0,0,0,0,27
2023 - 2024,2024 Spring,GRAD,GRAD,John,Adams,,FINA,5323,001,6,3,0,0,1,0,0,0,2,0,0,12
2023 - 2024,2024 Spring,GRAD,GRAD,John,Adams,,FINA,6312,001,2,4,2,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Spring,GRAD,GRAD,Sandra,Adams,,LIST,5361,005,26,0,0,0,1,0,0,0,0,0,0,27
2023 - 2024,2024 Spring,GRAD,GRAD,Sandra,Adams,,LIST,5361,006,14,0,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Spring,UGRD,UGRD,Shauntel,Adams,,SOCW,4451,101,28,5,3,0,0,3,0,0,0,0,0,39
2023 - 2024,2024 Spring,UGRD,UGRD,Shauntel,Adams,,SOCW,4551,001,28,5,3,0,0,3,0,0,0,0,0,39
2023 - 2024,2024 Spring,GRAD,GRAD,Shauntel,Adams,,SOCW,5316,032,9,5,0,0,1,0,0,0,0,0,0,15
2023 - 2024,2024 Spring,GRAD,GRAD,Shicobie,Adams,,NURS,5120,409,0,0,0,0,1,0,7,0,0,0,0,8
2023 - 2024,2024 Spring,GRAD,GRAD,Oluwatosin,Adebiyi,,NURS,5222,001,27,12,0,0,0,0,0,0,0,0,0,39
2023 - 2024,2024 Spring,GRAD,GRAD,Oluwatosin,Adebiyi,,NURS,5350,010,5,2,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Spring,UGRD,UGRD,Maxine,Adegbola,,NURS,3321,001,22,46,2,0,0,0,0,1,0,0,0,71
2023 - 2024,2024 Spring,GRAD,GRAD,Maxine,Adegbola,,NURS,5327,403,118,28,5,0,2,0,0,0,8,0,0,161
2023 - 2024,2024 Spring,UGRD,UGRD,Julie,Adkins,,ANTH,2322,001,17,18,7,4,7,0,0,0,4,0,0,57
