Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2021 - 2022,2022 Spring,GRAD,GRAD,,,"Cheryl Mitchell, Mary Davis",NURS,5120,440,0,0,0,0,0,0,9,0,0,0,0,9
2021 - 2022,2022 Spring,GRAD,GRAD,Abdolhossein,Haji-Sheikh,,ME,5317,001,17,14,0,0,0,1,0,0,0,0,0,32
2021 - 2022,2022 Spring,GRAD,GRAD,Abdul,Rasheed,,MANA,5336,001,5,6,0,0,0,0,0,0,0,0,0,11
2021 - 2022,2022 Spring,GRAD,GRAD,Abdul,Rasheed,"Anil Kumar Merugu, Poorvi Pandey",MANA,5331,071,13,10,0,0,0,0,0,0,1,0,0,24
2021 - 2022,2022 Spring,GRAD,GRAD,Abhishek,Santra,Enamul Karim,CSE,5331,001,16,20,1,0,0,0,0,0,0,0,0,37
2021 - 2022,2022 Spring,GRAD,GRAD,Abhishek,Santra,"Mengxiao Wang, Tulasi Nakka",CSE,5330,003,32,38,3,0,1,0,0,0,0,0,0,74
2021 - 2022,2022 Spring,GRAD,GRAD,Adam,Annaccone,,KINE,5228,001,15,0,0,0,0,0,0,0,0,0,0,15
2021 - 2022,2022 Spring,GRAD,GRAD,Adam,Annaccone,,KINE,5355,001,12,6,0,0,0,0,0,0,0,0,0,18
2021 - 2022,2022 Spring,GRAD,GRAD,Adam,Annaccone,Meredith Decker,KINE,5354,001,3,14,1,0,0,0,0,0,0,0,0,18
2021 - 2022,2022 Spring,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5306,001,27,1,0,0,1,0,0,0,3,0,0,32
2021 - 2022,2022 Spring,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5318,006,16,1,0,0,0,0,0,0,1,0,0,18
2021 - 2022,2022 Spring,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5353,006,20,0,0,0,0,0,0,0,0,0,0,20
2021 - 2022,2022 Spring,GRAD,GRAD,Adrienne,Johnson,,SOCW,5365,031,15,2,0,0,2,0,0,0,1,0,0,20
2021 - 2022,2022 Spring,GRAD,GRAD,Adwait,Khare,,MARK,5331,071,16,7,0,0,0,0,0,0,1,0,0,24
2021 - 2022,2022 Spring,GRAD,GRAD,Agustin,Villafana,Anas Hammouri,CE,5327,001,12,6,0,0,0,0,0,0,0,0,0,18
2021 - 2022,2022 Spring,GRAD,GRAD,Agustin,Villafana,Anas Hammouri,CE,5327,101,2,2,3,0,0,0,0,0,2,0,0,9
2021 - 2022,2022 Spring,GRAD,GRAD,Aimee,Dunnam,,NURS,5213,001,7,11,2,0,0,0,0,0,1,0,0,21
2021 - 2022,2022 Spring,GRAD,GRAD,Albert,Tong,,ME,5345,001,2,3,1,2,1,0,0,0,0,0,0,9
2021 - 2022,2022 Spring,GRAD,GRAD,Albert,Tong,Vimalan Adaikalanathan,ME,5332,001,10,11,3,2,3,0,0,0,0,0,0,29
2021 - 2022,2022 Spring,GRAD,GRAD,Albert,Tong,Vimalan Adaikalanathan,ME,5332,002,3,1,1,1,0,0,0,0,1,0,0,7
2021 - 2022,2022 Spring,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5326,001,5,5,0,0,0,0,0,0,0,0,0,10
2021 - 2022,2022 Spring,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5358,500,52,11,0,0,0,0,0,0,1,0,0,64
2021 - 2022,2022 Spring,GRAD,GRAD,Alex,Dillhoff,Yanjun Lyu,CSE,6363,006,21,9,1,0,0,0,0,0,0,0,0,31
2021 - 2022,2022 Spring,GRAD,GRAD,Alex,Dillhoff,Yanjun Lyu,CSE,6363,102,12,0,0,0,0,0,0,0,0,0,0,12
2021 - 2022,2022 Spring,GRAD,GRAD,Ali,Davoudi,,EE,5370,002,7,4,0,0,0,0,0,0,1,0,0,12
2021 - 2022,2022 Spring,GRAD,GRAD,Ali Reza,Sayah,Yuan Zhuang,CE,5308,001,6,0,0,0,0,0,0,0,0,0,0,6
2021 - 2022,2022 Spring,GRAD,GRAD,Alireza,Fallahi,Srinath Thirugnanasambandamurthy,IE,5301,004,9,17,8,0,0,0,0,0,0,0,0,34
2021 - 2022,2022 Spring,GRAD,GRAD,Allison,Sullivan,Ana Jovanovic,CSE,5320,002,15,4,1,1,4,0,0,0,0,0,0,25
2021 - 2022,2022 Spring,GRAD,GRAD,Allison,Sullivan,Ana Jovanovic,CSE,6392,003,8,2,0,0,0,0,0,0,0,0,0,10
2021 - 2022,2022 Spring,GRAD,GRAD,Allison,Tuppeny,John Gonzalez,NURS,5315,404,2,27,36,12,4,0,0,0,14,0,0,95
2021 - 2022,2022 Spring,GRAD,GRAD,Amanda,Aykanian,,SOCW,5313,003,16,12,1,0,0,0,0,0,2,0,0,31
2021 - 2022,2022 Spring,GRAD,GRAD,Amanda,Aykanian,,SOCW,5313,004,10,14,0,0,4,0,0,0,1,0,0,29
2021 - 2022,2022 Spring,GRAD,GRAD,Amanda,Mendez,Phyllis Wood,NURS,5660,462,0,0,0,0,0,0,9,0,0,0,0,9
2021 - 2022,2022 Spring,GRAD,GRAD,Amanda,Olsen,,EDUC,5394,105,22,7,0,0,0,0,0,0,1,0,0,30
2021 - 2022,2022 Spring,GRAD,GRAD,Amanda,Olsen,,EDUC,5397,001,6,0,0,0,0,0,0,0,0,0,0,6
2021 - 2022,2022 Spring,GRAD,GRAD,Amanda,Olsen,,EDUC,5397,105,62,7,0,0,1,0,0,0,2,0,0,72
2021 - 2022,2022 Spring,GRAD,GRAD,Amanda,Ryan,,SOCW,5316,030,20,0,0,0,2,0,0,0,0,0,0,22
