Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2020 - 2021,2021 Spring,GRAD,GRAD,Aaron,Smallwood,,ECON,5337,001,10,15,3,1,0,0,0,0,0,0,0,29
2020 - 2021,2021 Spring,GRAD,GRAD,Aaron,Smallwood,,FINA,5331,072,31,15,0,0,0,0,0,0,0,0,0,46
2020 - 2021,2021 Spring,GRAD,GRAD,Abdolhossein,Haji-Sheikh,,ME,5317,001,11,5,0,0,0,2,0,0,1,0,0,19
2020 - 2021,2021 Spring,GRAD,GRAD,Adam,Annaccone,,KINE,5228,001,12,0,0,0,0,0,0,0,0,0,0,12
2020 - 2021,2021 Spring,GRAD,GRAD,Adam,Annaccone,,KINE,5355,001,1,14,0,0,0,0,0,0,0,0,0,15
2020 - 2021,2021 Spring,GRAD,GRAD,Adam,Annaccone,Meredith Decker,KINE,5354,001,1,12,2,0,0,0,0,0,0,0,0,15
2020 - 2021,2021 Spring,GRAD,GRAD,Aimee,Dunnam,,NURS,5210,001,8,12,5,0,0,0,0,0,1,0,0,26
2020 - 2021,2021 Spring,GRAD,GRAD,Aimee,Dunnam,,NURS,5211,001,12,14,1,0,0,0,0,0,1,0,0,28
2020 - 2021,2021 Spring,GRAD,GRAD,Aimee,Israel-Pelletier,,MODL,5304,001,4,2,0,0,0,0,0,0,0,0,0,6
2020 - 2021,2021 Spring,GRAD,GRAD,Albert,Tong,,ME,5345,001,7,1,0,0,0,0,0,0,0,0,0,8
2020 - 2021,2021 Spring,GRAD,GRAD,Albert,Tong,Louis Sponton,ME,5332,001,6,4,5,0,0,0,0,0,0,0,0,15
2020 - 2021,2021 Spring,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5326,001,8,4,0,0,0,0,0,0,0,0,0,12
2020 - 2021,2021 Spring,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5326,101,23,2,0,0,0,0,0,0,0,0,0,25
2020 - 2021,2021 Spring,GRAD,GRAD,Ali,Davoudi,,EE,6375,001,6,0,0,0,0,0,0,0,0,0,0,6
2020 - 2021,2021 Spring,GRAD,GRAD,Ali Reza,Sayah,Seyed Missagh Shamshiri Guilvayi,CE,5308,001,7,1,0,0,0,0,0,0,0,0,0,8
2020 - 2021,2021 Spring,GRAD,GRAD,Alicia,Rueda-Acedo,,SPAN,5313,001,10,3,0,1,1,0,0,0,0,0,0,15
2020 - 2021,2021 Spring,GRAD,GRAD,Allison,Sullivan,,CSE,6392,003,6,1,0,0,0,0,0,0,0,0,0,7
2020 - 2021,2021 Spring,GRAD,GRAD,Allison,Tomlinson,,SOCW,5362,020,21,2,0,0,0,0,0,0,1,0,0,24
2020 - 2021,2021 Spring,GRAD,GRAD,Allison,Tomlinson,,SOCW,5363,007,21,8,0,0,0,0,0,0,0,0,0,29
2020 - 2021,2021 Spring,GRAD,GRAD,Allison,Tomlinson,,SOCW,5363,013,16,5,2,0,0,0,0,0,0,0,0,23
2020 - 2021,2021 Spring,GRAD,GRAD,Allison,Tomlinson,,SOCW,5363,014,20,3,1,0,0,0,0,0,0,0,0,24
2020 - 2021,2021 Spring,GRAD,GRAD,Allison,Tuppeny,John Gonzalez,NURS,5315,402,8,38,22,3,1,0,0,0,10,0,0,82
2020 - 2021,2021 Spring,GRAD,GRAD,Amanda,Aykanian,,SOCW,5308,001,11,10,0,1,1,1,0,0,2,0,0,26
2020 - 2021,2021 Spring,GRAD,GRAD,Amanda,Mendez,Phyllis Wood,NURS,5660,464,0,0,0,0,0,0,10,0,0,0,0,10
2020 - 2021,2021 Spring,GRAD,GRAD,Amanda,Olsen,,EDUC,5394,005,19,4,1,0,0,0,0,0,1,0,0,25
2020 - 2021,2021 Spring,GRAD,GRAD,Amanda,Olsen,,EDUC,5394,105,45,1,2,0,0,0,0,0,0,0,0,48
