Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2022 - 2023,2022 Fall,GRAD,GRAD,Amanda,Aykanian,,SOCW,5323,001,18,1,0,1,1,0,0,0,2,0,0,23
2022 - 2023,2022 Fall,GRAD,GRAD,Amanda,Hassan,,SOCW,5311,027,22,0,1,0,0,0,0,0,1,0,0,24
2022 - 2023,2022 Fall,GRAD,GRAD,Amanda,Hassan,,SOCW,5311,045,18,0,0,0,0,0,0,0,1,0,0,19
2022 - 2023,2022 Fall,GRAD,GRAD,Amanda,Hassan,,SOCW,5323,002,20,1,0,0,2,0,0,0,0,0,0,23
2022 - 2023,2022 Fall,GRAD,GRAD,Amanda,Mendez,Phyllis Wood,NURSG,5660,461,0,0,0,0,0,0,8,0,0,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Amanda,Olsen,,EDUC,5394,105,43,2,1,0,2,0,0,0,0,0,0,48
2022 - 2023,2022 Fall,GRAD,GRAD,Amanda,Ryan,,SOCW,5316,030,21,1,0,0,1,0,0,0,0,0,0,23
2022 - 2023,2022 Fall,GRAD,GRAD,Amanda,Ryan,,SOCW,5316,031,23,1,0,0,1,0,0,0,0,0,0,25
2022 - 2023,2022 Fall,GRAD,GRAD,Amber,Arnold,Deborah Behan,NURS,6320,400,3,3,0,0,0,0,0,0,2,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Amber,Arnold,Deborah Behan,NURS,6320,406,10,0,0,0,0,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Amber,White,,CRCJ,5327,002,4,3,3,1,0,0,0,0,0,0,0,11
2022 - 2023,2022 Fall,GRAD,GRAD,Ambra,Green,,SPED,5302,001,3,6,1,0,0,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Amin,Gharehyakheh,"Ansal Mohammed Abdul Khalam Azad, Mohammad Ahnaf Shahriar",IE,5301,005,5,8,0,1,0,0,0,0,0,0,0,14
2022 - 2023,2022 Fall,GRAD,GRAD,Amin,Gharehyakheh,"Ansal Mohammed Abdul Khalam Azad, Mohammad Ahnaf Shahriar",IE,5317,005,4,10,2,0,0,0,0,0,0,0,0,16
2022 - 2023,2022 Fall,GRAD,GRAD,Amy,Archambeau,,LARC,5397,001,10,0,0,0,0,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Amy,Hodges,,ENGL,6389,001,26,2,0,0,0,0,0,0,1,0,0,29
2022 - 2023,2022 Fall,GRAD,GRAD,Amy,Lunsford,"Gigi Thomas, Mary Davis",NURS,5120,421,0,0,0,0,0,0,6,0,0,0,0,6
2022 - 2023,2022 Fall,GRAD,GRAD,Amy,Winslow,"Courtney Werner, Leslie Wilson",NURS,5130,452,0,0,0,0,0,0,5,0,1,0,0,6
2022 - 2023,2022 Fall,GRAD,GRAD,Anam,Sahoo,Faria Tasnim,INSY,5337,003,8,4,1,0,2,0,0,0,1,0,0,16
2022 - 2023,2022 Fall,GRAD,GRAD,Anam,Sahoo,Faria Tasnim,INSY,5337,004,10,9,0,0,0,0,0,0,0,0,0,19
2022 - 2023,2022 Fall,GRAD,GRAD,Anam,Sahoo,Rishab Khuntia,CSE,5325,004,27,32,0,1,0,0,0,0,0,0,0,60
