Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2020 - 2021,2020 Fall,GRAD,GRAD,A,Elliott,,SPAN,5303,001,5,2,0,0,0,0,2,0,1,0,0,10
2020 - 2021,2020 Fall,GRAD,GRAD,Aaron,Smallwood,,ECON,5337,001,9,7,0,3,1,0,4,0,2,0,0,26
2020 - 2021,2020 Fall,GRAD,GRAD,Abdolhossein,Haji-Sheikh,Swapnil Suryakant Salvi,ME,5316,004,7,2,0,0,0,0,0,0,0,0,0,9
2020 - 2021,2020 Fall,GRAD,GRAD,Abdul,Rasheed,,EMBA,5413,002,17,2,0,0,0,0,0,0,0,0,0,19
2020 - 2021,2020 Fall,GRAD,GRAD,Abdul,Rasheed,Rashmitha Gaddam,MANA,6328,001,8,1,0,0,0,0,0,0,0,0,0,9
2020 - 2021,2020 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5223,001,11,0,0,0,0,0,0,0,0,0,0,11
2020 - 2021,2020 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5348,001,2,12,0,0,0,0,0,0,1,0,0,15
2020 - 2021,2020 Fall,GRAD,GRAD,Adam,Annaccone,Meredith Decker,KINE,5235,001,5,7,0,0,0,0,0,0,0,0,0,12
2020 - 2021,2020 Fall,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5306,001,21,2,1,0,0,0,0,0,2,0,0,26
2020 - 2021,2020 Fall,GRAD,GRAD,Aera,LeBoulluec,Shirish Rao,IE,5318,005,4,5,2,3,1,0,0,0,0,0,0,15
2020 - 2021,2020 Fall,GRAD,GRAD,Aimee,Dunnam,,NURS,5211,001,14,8,1,0,0,0,0,0,2,0,0,25
2020 - 2021,2020 Fall,GRAD,GRAD,Aimee,Dunnam,,NURS,5324,001,10,0,0,0,0,0,0,0,0,0,0,10
2020 - 2021,2020 Fall,GRAD,GRAD,Aimee,Dunnam,,NURS,5650,001,0,0,0,0,0,0,6,0,0,0,0,6
2020 - 2021,2020 Fall,GRAD,GRAD,Aimee,Dunnam,Julie Durand,NURS,5210,002,10,15,0,0,0,1,0,0,1,0,0,27
2020 - 2021,2020 Fall,GRAD,GRAD,Aimee,Israel-Pelletier,,FREN,5331,001,6,1,0,0,0,0,0,0,0,0,0,7
2020 - 2021,2020 Fall,GRAD,GRAD,Albert,Tong,Yanni Chang,AE,5313,001,2,2,4,1,0,0,0,0,0,0,0,9
2020 - 2021,2020 Fall,GRAD,GRAD,Albert,Tong,Yanni Chang,ME,5313,001,4,2,3,0,0,0,0,0,0,0,0,9
2020 - 2021,2020 Fall,GRAD,GRAD,Albert,Tong,Yanni Chang,ME,5313,002,3,2,0,0,0,0,0,0,1,0,0,6
2020 - 2021,2020 Fall,GRAD,GRAD,Albert,Tong,Yanni Chang,ME,5331,004,4,7,8,0,1,0,0,0,0,0,0,20
2020 - 2021,2020 Fall,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5350,001,5,4,0,0,0,1,2,0,1,0,0,13
2020 - 2021,2020 Fall,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5350,500,38,15,1,1,1,0,0,0,1,0,0,57
2020 - 2021,2020 Fall,GRAD,GRAD,Ali Reza,Sayah,,CE,5308,001,11,0,0,0,0,0,0,0,0,0,0,11
2020 - 2021,2020 Fall,GRAD,GRAD,Allison,Sullivan,Yu Song,CSE,5311,003,9,3,1,0,0,0,0,0,1,0,0,14
