Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2020 - 2021,2021 Summer,GRAD,GRAD,Adam,Annaccone,,KINE,5223,001,14,1,0,0,0,0,0,0,0,0,0,15
2020 - 2021,2021 Summer,GRAD,GRAD,Adam,Annaccone,Cynthia Trowbridge,KINE,5234,001,15,0,0,0,0,0,0,0,0,0,0,15
2020 - 2021,2021 Summer,GRAD,GRAD,Adam,Annaccone,Cynthia Trowbridge,KINE,5356,001,2,12,1,0,0,0,0,0,0,0,0,15
2020 - 2021,2021 Summer,GRAD,GRAD,Adwait,Khare,,MARK,5331,072,11,10,0,0,0,0,0,0,0,0,0,21
2020 - 2021,2021 Summer,GRAD,GRAD,Aera,LeBoulluec,Abhijit Anand Deshpande,IE,5318,002,2,3,1,0,0,0,0,0,0,0,0,6
2020 - 2021,2021 Summer,GRAD,GRAD,Aimee,Dunnam,,NURS,5324,001,7,0,0,0,0,0,0,0,0,0,0,7
2020 - 2021,2021 Summer,GRAD,GRAD,Aimee,Dunnam,,NURS,5324,002,6,0,0,0,0,0,0,0,0,0,0,6
2020 - 2021,2021 Summer,GRAD,GRAD,Albert,Tong,Vimalan Adaikalanathan,AE,5331,001,1,5,2,0,0,0,0,0,0,0,0,8
2020 - 2021,2021 Summer,GRAD,GRAD,Alden,Jones,,EDAD,5380,001,10,1,0,0,0,0,0,0,0,0,0,11
2020 - 2021,2021 Summer,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5309,001,4,2,1,0,1,0,0,0,0,0,0,8
2020 - 2021,2021 Summer,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5326,500,63,12,0,0,0,3,0,0,0,0,0,78
2020 - 2021,2021 Summer,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5332,500,44,2,0,0,0,1,0,0,0,0,0,47
2020 - 2021,2021 Summer,GRAD,GRAD,Allison,Etchison,,SOCW,5358,003,23,2,0,0,0,0,0,0,0,0,0,25
2020 - 2021,2021 Summer,GRAD,GRAD,Amanda,Mendez,Phyllis Wood,NURS,5660,477,0,0,0,0,0,0,10,0,0,0,0,10
2020 - 2021,2021 Summer,GRAD,GRAD,Amanda,Olsen,,EDUC,5394,001,6,1,0,0,0,0,0,0,0,0,0,7
