Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2022 - 2023,2023 Summer,GRAD,GRAD,Abdul,Rasheed,,MANA,5331,072,11,10,0,0,0,0,0,0,0,0,0,21
2022 - 2023,2023 Summer,GRAD,GRAD,Adam,Annaccone,,KINE,5223,001,9,0,0,0,0,0,0,0,0,0,0,9
2022 - 2023,2023 Summer,GRAD,GRAD,Adam,Annaccone,,KINE,5290,001,9,0,0,0,0,0,0,0,0,0,0,9
2022 - 2023,2023 Summer,GRAD,GRAD,Adam,Annaccone,,KINE,5356,001,7,2,0,0,0,0,0,0,0,0,0,9
2022 - 2023,2023 Summer,GRAD,GRAD,Adam,Annaccone,Meredith Decker,KINE,5120,001,9,0,0,0,0,0,0,0,0,0,0,9
2022 - 2023,2023 Summer,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5303,001,23,4,0,0,1,0,0,0,0,0,0,28
2022 - 2023,2023 Summer,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5308,010,21,3,1,0,2,0,0,0,0,0,0,27
2022 - 2023,2023 Summer,GRAD,GRAD,Aera,LeBoulluec,Mohammad Ahnaf Shahriar,IE,5318,001,1,4,1,0,0,0,0,0,0,0,0,6
2022 - 2023,2023 Summer,GRAD,GRAD,Aera,LeBoulluec,Mohammad Ahnaf Shahriar,IE,5318,002,0,6,0,1,0,0,0,0,0,0,0,7
2022 - 2023,2023 Summer,GRAD,GRAD,Ahmad Mahmoud Ahmad,Jibreen,,CE,5343,001,3,2,1,0,0,0,0,0,0,0,0,6
2022 - 2023,2023 Summer,GRAD,GRAD,Ahmad Mahmoud Ahmad,Jibreen,,CM,5343,001,4,4,0,0,0,0,0,0,0,0,0,8
2022 - 2023,2023 Summer,GRAD,GRAD,Albert,Tong,Vimalan Adaikalanathan,AE,5331,002,4,1,2,0,0,0,0,0,0,0,0,7
2022 - 2023,2023 Summer,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,5395,028,6,1,1,0,0,0,0,0,0,0,0,8
2022 - 2023,2023 Summer,GRAD,GRAD,Alejandro,Rodriguez,,PLAN,5328,500,28,12,6,0,0,0,0,0,2,0,0,48
2022 - 2023,2023 Summer,GRAD,GRAD,Alejandro,Rodriguez,,PLAN,5329,500,28,3,2,0,0,0,0,0,0,0,0,33
2022 - 2023,2023 Summer,GRAD,GRAD,Alex,Dillhoff,"Xiao Shi, Yanjun Lyu",CSE,6363,001,65,4,0,0,0,0,0,0,1,0,0,70
